What are the factors that influence your learning pace and how much time you spend?,
7490,"Work is the first one. I have a partner who is needy. Also, family issue, my dad is sick and my uncle as well."
7491,"It's Urgency and complexity 
"
7493,"The ability for the tutor to pass knowledge in a simple and understandable way plays a huge role in my learning pace, if I am not understanding what the tutor is teaching, I would end up spending more than that needed on one topic"
7496,"My learning pace is mostly driven by passion. Normally, I am a very quick assimilator and an independent learner. I do not spend so much time mastering concepts before I am able to successfully commit them to memory or understand them. I spend at least 3-4 hours studying everyday.
"
7499,Network and electricity 
7500,"Other courses can take different amount of times, sometimes a course will much more difficult, which then takes more time from the other one"
7503,My passion for digital design influence my learning pace and how much time I spend.
7504,Familiarity with programing language 
7507,How much my child needs me and how much my partner can help me
7508,I spend mostly 4-6 hours daily to learning and in silence I like to do study or creative things
7509,Network and electricity 
7512,La nature et la difficulté des tâches de mon job actuel 
7513,жизнь
7514,"the resources I have(sometimes if my laptop isnt working properly it takes away hrs from my study time), my mental health. "
7516,The excitement for learning how to code. 
7517,Network and electricity 
7518,the factors are 1 convenient learning space 2 detailed explanation 
7520,"The content of the material and it clarity
"
7525,My set goals and I can spend 15 to 18 hours a week
7526,"Сроки по проектам, для реализации которых требуется обучиться:)))"
7532,University deadlines and my available free time
7534,Le besoin du marché du travail 
7537,Занятость другими предметами в университете и  интернет 
7540,A complex home/family life.
7543,"Университет
"
7547,"Mainly time, I like learn new things and create code quality, but sometimes the time isn't enough."
7555,规划学习路径，寻找学习资料和了解相关知识。
7564,"学习的意愿以及其他事情占据了时间
占据我的时间长短不一定，但是会打乱我的学习进度和速率"
7573,Complexity of the course and availability of time affect my learning pace. I spend almost 14 hours per week for learning.
7577,工作时候，往往没有那么多的学习时间。如果想要学习的科目过多，也很难合理分配各个科目的学习时间，需要有优先级。
7582,My environment at home
7589,convenience
7590,"Physische & psychische Gesundheit, Freizeitgestaltung, Jahreszeit und am aller wichtigsten: Das Ziel, das ich verfolge"
7600,主要工作需要加班
7602,对于新接触的技术，快速了解知识结构和学习脉络
7617,学校规定的成绩要求。每天。
7622,工作，大于8小时
7641,当前任务量
7648,"집중력, 흥미, 완성작에 대한 기대감"
7661,注意力
7663,所有有影响的因素，从出生到现在
7670,Motivation 
7672,How many hours of electricity I get in a day and my workload(errands) for the day.
7675,Hard to say sorry
7677,Mevcut işimdeki ve doktoramdaki diğer sorumluluklar
7689,interest
7692,工作，恐怕要一辈子，但是不工作我难以活下去
7695,Work; commute; tiredness
7711,上课占用时间
7712,工作和家庭事情都会影响
7713,学习或工作压力
7721,理解一些难懂的支持需要一些数据和项目的支持，但是初学者往往不知道如何找到并且运用这些数据和项目
7729,周围学习工作氛围，睡眠质量
7743,有时容易分心，更多的时候没有大段的连续时间来尝试新技术
7745,工作繁忙。一周工作48小时。
7746,学校课程安排
7754,长时间学习的疲劳感，每天6小时
7761,My motivation 
7767,Ter um compromisso com o horário das aulas. Responsabilidade em comparecer.
7768,工作安排会影响我的学习速度
7781,"Inconsistent, blurred and even misleading information or topics from the Internet."
7783,工作，加班
7784,寻找一个合适的环境，并进入状态，花费1H左右
7788,"my day job, and my health"
7791,"A quiet environment, good network and light when all this are.there I enter a flow state "
7799,Kişisel proje üzerinde çalıştığımda çok zaman harcıyorum
7801,"My interest in that subject, how promising it may be, its impact and my spare time."
7807,心理状态；学习目标；学校任务；学习方法；
7823,时间碎片化
7826,工作繁忙
7830,其他的必要的事情。视情况而定。
7831,"Load Shedding influences my learning pace, I usually spend 2 hours a day."
7832,专注力不够
7836,"Interest in the subject, current need for a specific project, time and stress"
7837,"Сложность темы - могу на несколько дней зависнуть на каком-то вопросе, пока не разберусь. "
7838,Öğrencilikte geçirdiğim süreden ne kadar zaman kaldığı
7840,"School work, social life"
7841,Availability of time and mental capacity
7851,How much time i have at the moment
7855,"Work, home, and family responsibilities"
7860,Mostly schoolwork. Learn less when I struggling with courses.
7862,"free time and continuous availability of source materials atleast 7 hours a week
"
7868,"有多少空闲时间
"
7871,课内压力
7881,The subject and the difficulty level
7883,"To remember what I learn takes long time, practice takes time."
7894,Arbeit und Familie
7897,"Once i start something, i see a lot of related stuffs around the same topic and get lost in the short dopamine rush of ""wanting to learn by watching this tutorial"" then click on the new video"
7898,"Availability of data
Time 
Worload for the week"
7899,Responsabilidades familiares 
7901,"Motivation and complexity of tasks at work.
I spend 4 hours usually."
7902,3 horas por dia
7903,Comfort
7904,"Time, mostly social activities on weekends "
7907,- Arbeitspensum für die Woche
7910,Amount of projects and deadlines 
7916,Falta de foco
7917,Learning that coincides with my work requirements. 
7918,"Depende mucho de si el material de estudio es claro, y concreto, y sobre todo si los temas van organizados y alineados a los objetivos de aprendizaje "
7919,How interesting the topic is
7920,How much of other things I have to do. My other obligations. If I don't have a paper or other obligations then I typically am able to put more time into learning compsci
7923,"Some factors may be the difficulty of the concept or the complexity of it as it might take longer than usual to learn a specific concept because of it being complex, therefore I may dedicate relatively longer or shorter or longer time to a topic. I may spend at least 2-3 hours on a concept, learning, understanding and applying it."
7924,Current schedule.
7925,Konunun ilgimi çekmesi ve trend olması
7926,Vie pro perso
7927,"Household conditions, health"
7929,My mental health and subsequent energy levels. Difficulty of a topic 
7930,Deadlines von Projekten
7931,O principal fator é a disponibilidade de tempo no dia a dia.
7938,La compréhension 
7947,Kısıtlı zaman
7948,"Depending on my workload, I may need more time to understand the concepts"
7954,Mi bendición 
7958,Work and other appointments 
7959,"Organization of my workplace, it should be clean and everything should be structured"
7963,"The main factor is that I am fully employed.
The other is that I can lose motivation without support"
7964,disponibilidad de tiempo 
7966,Motivation für persönliche Projekte 
7970,"Günlük ruh halim, işler güçler "
7975,El trabajo y el tiempo para estudiar
7976,What's required for my job and how interesting it is 
7977,Usually tight deadlines motivate me to work harder and more efficiently. In these cases I find myself studying more than 12 hours a day 
7978,"Sport and daily tasks, i spend a lot of time for sport(10-15hours/week)"
7980,The other tasks and my psychical state
7985,My academic workload.
7986,"Wenn ich einen neuen besonders interessanten Bereich in einem Thema gefunden habe, investiere ich viel Zeit mich dort einzuarbeiten "
7988,Procrastinação e ambiente de estudo.
7989,A disciplina e a vontade de ter melhores condições de vida
7990,"Demandas de trabalho e de casa, demandas da faculdade"
7992,Distracción.
7997,I didn't set a clear goal for a long time but now I'm working on my discipline to accomplish something.
7998,el tiempo disponible para hacerlo pues el trabajo no me da mucho 
8000,Sessiz çalışma ortamına erişilebilirlik durumu ve hayat kalitesi oldukça etkiliyor.
8006,Mi carga de trabajo
8007,It depends on the project 
8008,"Interés, conocimiento, "
8009,"The subject, if it's interesting me."
8014,Motivation and course content
8018,Modalidad presencial que me hace perder tiempo en traslados y me agota la energía 
8019,The main factor is the time that my job will give me to focus on university learning and course learning 
8022,"Tiempo disponible
O cuando se requiere "
8023,estudiar solo en mis tiempos libres 
8025,The amount of free time
8031,Depends on the amount of work i have on my full time job
8032,7
8034,"Energy level, mental health and work"
8035,"Cuando estoy haciendo un curso, le dedico más tiempo que cuando no "
8038,"Universidade, estágio, tempo no transporte público, tarefas domésticas"
8040,La agenda en el trabajo 
8042,"Geralmente fatores ambientais, como onde estou, relação familiar e com amigos,  tempo disponível, conciliação com trabalhos..."
8043,Workload and free time
8050,Compromissos
8051,"My interests, work and exams."
8053,"Working, currently I have 2 jobs and the time between those are the time spend in studying "
8054,School work
8058,"La complejidad de los temas, el tiempo disponible, las demás actividades de la semana"
8061,"If the thing im trying to learn has easily available material to study, either online tutorials or documentation or a physical book, I'm fairly motivated and study quickly and studying a specific thing takes me around a day at most. But if material is hard to come by, it can take up to 2 or 3 days
"
8063,Deadlines and how well I understand concepts. If I don't fully understand a concept I will spend a lot more time on it. 
8066,Trabajar en más proyectos 
8074,Sonstige Verpflichtungen und Motivation 
8076,"I am a curious person so I think it's my curiosity that enables me to learn new things that triggers me, and I would like to spend time untill I completely learns that thing"
8080,Calidad del curso. Los reviews del curso siempre dicen mucho del curso
8083,Energy levels and working shift demands
8084,"I feel like I cannot concentrate and am very unproductive if I don't have the deadline rush
"
8085,Since I'm currently in university I have lectures so I don't usually get time for studying it's very much
8086,"Concentracion, descanso, practica"
8087,Time 
8088,Depends
8093,tiempo libre y medios de soporte
8096,Otros hobbies
8101,Reservar un horario después de la tarde para aprender sobre programación y enfocarme en ello
8103,"Mental heath, available time"
8108,"motivación
tiempo y lugar de aprendizaje "
8109,The availability of high-quality material.
8110,Las ganas
8115,"Life circumstances, my general health state. And approaching deadlines"
8116,Se a minha semana no trabalho foi pesado ou nao
8117,The importance of a topic.
8121,La cantidad y densidad de información a desarrollar
8123,실제 업무시간의 변동성
8131,"Brigas entre familiares me atrapalham muito a estudar, pois fico mal com tudo o que acontece, e acabo não conseguindo prestar a devida atenção"
8132,"The content itself,  if it's content I find difficult I will take continued breaks from it to go and think to not stress myself out "
8136,My learning pace is varied according to the number of topics I've to go through to grasp the concept and I usually spend more than an hour or two
8137,La disponibilidad del tiempo que tengo para sentarme a estudiar 
8140,My interest on the particular subject and general time available with work and all
8143,"Motivación, entorno y disciplina"
8145,"Currently I'm on school and the only thing that slows me down is homework, however most of my assignments are related to computer science and IT "
8146,Interes 
8156,La complejidad del tema y ponerlo en práctica
8160,Le dedico poco tiempo por mi trabajo y familia
8161,项目，每个项目进行时会努力，项目结束时怠慢
8162,"If im interested in the topic, I can spend hours unintentionally. Also I learn visually"
8163,El tiempo disponible 
8164,"Estar em um lugar relativamente silencioso.
Gasto entorno de 4 horas diárias de aprendizado

"
8169,工作、家庭、游戏
8173,"Le sommeil 
"
8174,El trabajo y el cansancio físico y mental.
8179,"O tempo que passo no trabalho e logo depois tenho que ir para a faculdade, também não tenho espaço na minha casa para estudar de maneira confortável "
8185,Motivation and if the task is interesting
8188,Encontrar siempre tiempo
8190,"O dia a dia, tem semana que é mais corrida e não tenho tempo."
8192,Quite  place and I have access to coffee 
8193,"Work, family. "
8194,Quiero encontrar mi primer trabajo tech lo más pronto posible
8198,El trabajo principal
8199,"My learning style which is visual and auditory combined makes me spend extra time learning, the environment and access to resources also play a role in my learning process and I study by taking notes and answering sample questions to assess my knowledge and skills, all this makes me spend averagely 4hrs a day learning my online courses."
8202,"Complexity of the topic
Time apart from coursework and part-time jobs."
8203,No anotar las cosas
8212,Motivation 
8213,"The time I have available after the university. My university has a 75 percent mandatory attendance with written assignments that take up a lot of my time. I barely have energy left after I get home and try to learn and experiment with the concepts I learn with the energy I have left. If I have any exams coming up , then I study for that particular exam to keep my GPA up over the online course I am studying from
"
8215,Tiempo
8217,"Interest, external life"
8219,"Buena documentación, videos ilustrativos y prácticas "
8220,"Las tareas de hogar que tenga pendientes, el tiempo de transporte y tiempo libre que tenga"
8223,"Ter metas ou motivos para aprender tal habilidade é uma forte motivação para estudar certos tópicos, seja urgência para aplicar em um projeto ou para utilizar em uma entrevista de emprego"
8226,If Im tired or not. Also if there is a mood for that. And most importantly the time. 
8232,"As provas da faculdade, gasto muito tempo nelas nas acredito que devia estudar de maneira mais constante "
8233,Projetos que estou trabalhando 
8239,If I have to leave my study space to gk to class
8243,Depende da motivação e do cronograma semanal 
8249,"I want to become a senior developer, I spent at least 6 hours daily"
8251,"Platzi is very addictive, for that reason i can achieve my goals "
8252,"I think that the best knowledge is the learned for create a new project or for something usefull, then I like learn for a necesary thing o for a project"
8264,Depende de la complejidad de lo que aprendo y resolver los ejercicios sin hacer trampa y tener tiempo libre para hacerlo 
8266,Familia y trabajo 
8269,Nq
8276,Soy una persona que se distrae muy fácil asique clases en vivo o si es grabada tener un buen espacio sin distracciones
8284,life
8288,"El estudio y el trabajo, hallar un equilibrio es horrible de vez en cuando "
8290,Família toma muito do meu tempo
8294,Work
8296,Many of the factors are reliant on upcoming deadlines and how I study with which content I study too
8300,"My energy levels affect my learning pace. If I'm tired after a long day I find it difficult to focus on studying and take longer to understand what I'm learning. If there is less pressure on me to understand something or complete work, I tend to put less effort and time into it. Overall, if I have the energy and motivation to complete tasks or engage in learning, I will do so. "
8301,Para tener mas experiencia
8303,"Uno de los factores que influyen, es enfocarme en realizar el curso que esté haciendo usando técnicas como Pomodoro para concentrarme en el aprendizaje y no en el tiempo como tal, esto me ayuda a tener más control de mi tiempo y memorizar mi aprendizaje mucho mejor."
8309,Disponibilidade e fatores externos.
8310,他人或工作事件打扰下班事件
8313,"It depends mainly on the content I'm studying. Certain topics like human computer interaction that are much less about the logic required in programming, algorithms, and web design, and are more based on the psych, makes me have to spend more time studying. I find it much easier to study topics that are logical and practical."
8316,Good salary and market competition 
8318,"influye el entorno, si existe o no otras tareas "
8321,"If I am studying to complete a professional goal or project, I understand that my actions impact not only the project, but also my team and company. Therefore, I put utmost care in ensuring that I study well to a professional degree when applying my knowledge to the project.

For personal projects with no goals of monetization or publications, my learning pace is correlated to my interest and the amount of fun I am having.

For projects that I intend on monetizing or publishing and need to learn new material, I stand in between the first two scenarios above, depending on who or what is reliant on the completion of my learning and project."
8322,How clear the material is
8323,Compresión de conceptos 
8325,My daily mood
8327,"Eu estudo para AFA, então depende de quanto preciso estudar ainda"
8339,"Es muy influyente la cantidad trabajo que tengo para clientes de mis servicios, en momentos donde no tengo tanto trabajo lo dedico a estudiar "
8342,Engaging and real life projects.
8347,Work life balance issues 
8349,No siempre tengo la misma cantidad de tiempo disponible por el trabajo y eso influye en el ritmo de aprendizaje 
8350,Interest in the learning material and how I can apply it in real life
8352,My college's coursework 
8357,"Why I need to study, the motivators. E.g job interview coming up in a. Specific language so I'll study that. Or I'm working on a. Game project so I study that"
8361,Simplicity: if a course in broken down in layman's terms then it would increase my learning pace.
8364,My school work and my health
8365,How much I am working that week and how free my schedule is. How mentally motivated I am
8366,"It's my hobby. When I'm more stressed by my research, I procrastinate by learning and doing more personal projects."
8370,tiempo y dinero
8371,"Fatigue suite à mon travail, stress, vie privée "
8374,El trabajo 
8376,La atención a mi familia
8378,La disponibilité de la connexion internet. Le temps libre en dehors de mes autres activités.
8379,Hunger
8380,"Contents of course
"
8381,El trabajo y la familia
8382,I like to start new topics from the basics and build up little by little. For example trying to understand what XML is before getting into Xpath or XLST. I like to understand the fundamentals first. 
8387,흥미와 마감일인 것 같습니다.
8389,Mis otras actividades laborales 
8391,Project requirements 
8394,时间不够还有就是兴趣，坚持的毅力，回报
8401,Müsaitlik durumu 
8402,I'm still trying to get used to my new job while trying to balance college studies -which are rarely useful - and getting enough sleep and time to rest
8404,"Çevre, hedefler"
8411,Kullandığım araçların stabilitesi 
8412,When problem occurs I spend more time to learn how to solve it as well as with new thing that appears on the coding path
8415,"Mis actividades personales como trabajar, hogar, cuidar de la familia "
8416,"Poder tener un computador en casa, muchas veces tengo que usar el de un vecino o aprovechar las horas de clase presencial para trabajar las actividades practicas "
8422,I have ADHD and get easily sidetracked and bored.
8423,Las diferentes ocupaciones 
8424,Bandwidth en mi trabajo actual 
8428,Complejidad 
8429,새 개념의 복잡성이 얼마나 되는가
8432,"My family, work life balance, and the difficulty of topics. Time vary significantly mostly around the difficulty of topics."
8433,How much work to do and private appointments
8436,"My time free decides whenever i study, i study like 10 hours a week"
8437,"개인일정, 학습난이도"
8439,La atareado que estoy con otras cosas
8447,Having a deadline established help me reach my goal
8448,La complejidad de los temas para su comprensión y la implementación en ejercicios.
8449,El trabajó 
8455,"Family problems, office work, mental overload and exhaustion "
8458,Na
8459,"making projects in my mind, and bring it on to real"
8463,"Other interests of mine, I think if you are not a just very good coder like me and thats not my main purpose I really love to use this power with integrate other my engineering and entrepenur skills to combine things so this is my real factor, interests"
8464,Es tiempo 
8467,Other commitments 
8468,강의 구성이 충분히 알차면 속도 및 투자 시간이 늘어남
8471,"My studies are the main. I spend a lot of time studying CS, when my exams are coming. But sometimes I do side projects, then I spend few hours a week to get them done, however, they are rare and erratically spread."
8474,Konunun içeriğinin ağır oluşu 
8475,"A full time job with uncertain time commitments.  Some weeks may have a lot of spare time that i can work on personal projects/learn new skills.  Other weeks, i don't have enough time to do eat."
8476,El tema 
8482,Interesse am Thema und ADHS
8486,"Soy ama de casa,trabajadora independiente y madre a tiempo completo. El tiempo escasea para poder dedicar a mis estudios como quisiera. Así mismo la máquina que uso tiene un procesador lento y a veces pierdo la paciencia
"
8489,Evdeki dikkat dağıtıcı unsurlar beni yavaşlatıyor
8490,Mental health and environment
8492,"University, homeworks, intererst. I spend 3-5 hours a week"
8495,Exams and friends 
8507,Workload
8509,工作的繁忙，导致无心学习
8513,"Ich lerne häufig in Projekten. Wenn viele Herausforderungen kommen für die ich Neues lernen muss, dann ist es mehr."
8516,El tiempo que disponga y la motivación en el tema actual
8517,"Professional workload, spend time with kids"
8529,"La dificultad que algo represente para mí, mi disponibilidad de horario; en ocasiones, problemas con el internet"
8530,회사 업무 야근
8537,Other outside commitments
8538,Müsaitliğim.
8539,"Depends on what im learning. If im learning something more brain consuming like machine learning neural networks, i'd slow down my pace so i can focus more, but if im learning react and other javascript libreries, i'd increase my pace because i have experience in that area"
8540,Difficulty of the topic and my own ability to learn affects my pace mostly. 
8545,Mi carga de trabajo y compromisos familiares 
8546,"I like to study on demand. When in emergency, I study a lot. Otherwise, I just learn things I like the most. The pace is then comparatively slow."
8550,El trabajo y la familia 
8551,"Tareas del hogar, trabajo"
8553,Je nachdem wie viel Zeit ich verfügbar habe.
8555,"If I can focus on the subject I am trying to learn or if my mind is occupied by other thoughts, for instance if there is something going on in my private life."
8556,Berufliche Auslastung 
8561,Work-life balance
8565,배경 지식과 목표 설정
8568,Öğrenmeye çalışırken aynı zamanda tam zamanlı bir işte çalıştığım için biraz yetersiz kalıyorum.
8570,La famine qui influence 
8571,My schedule really. I work and can only study in my free time
8572,Trabajo y tareas del hogar
8573,The complexity of the topic 
8576,"My academic and work load, mental health, physical health"
8578,Deadlines 
8579,To makes something after the thing I learnt
8585,Arbeit und persönliche Verpflichtungen
8586,Amount of brain power
8587,Nothing
8588,5
8597,Others who like to create study aura
8603,"Workload, child-rearing, exercise schedule"
8605,"Personal responsibilities, power and internet constraints, mental burnout."
8610,Ob Prüfungen anstehen 
8612,My lack of time for studying computer science
8617,Lo que más afecta es cuando tengo que presentar algún trabajo en específico para cierta fecha debido a que si por diferentes motivos no estoy listo tengo que aumentar el volumen de estudio 
8622,"I like to learn all that i can from a topic, then rest, practice, study more or go with the next topic. Thats my way to study. I spend 3 hours then i rest, then 2 or 5 hours. Never sometime 100% secure, because i feel is better for me spend the time needed for each topic when i can do it well."
8626,Activities to related to college. Father also gives me task time to time. 
8627,My ongoing Lab. projects.
8628,How well are explained things
8635,"Vie personnelle 
Horaires professionnels "
8637,Other school work
8641,"I will focus heavily and learn in depth on topics that relate to something of current importance such as an upcoming test, a project (personal or school), or just a topic I am currently interested in. "
8642,"University deadlines, in fact I'd like to slow down once I get my degree, and adopt a more focused and relaxed study behaviour"
8643,New technologies . 2 hours /day
8646,My overall mood honestly if I am motivated I will  learn faster
8647,My personal preference
8649,Ma fatigue mentale et physique et le niveau de motivation que le cours me procure
8651,"Quiet place
3-4 hours/day"
8652,Odaklanma süresi
8655,Difficulty
8657,"Ablenkungen in der Umgebung, die eigene Stimmung am Tag"
8658,Depends on how much time I have to spare as I have other things going on in my life.
8663,How much free time i have in this day. 
8666,"Realistically it all depends on time management. Talking as a student that always take hours of bus to reach university, at the evening back home is not always easy to go back study. I try my best to learn time by time especially when there are midterms, on other cases I study when I have time and i am feeling well"
8674,I read something untill I understand it and then I try to create something on my own. A factor that influences my learning pace is the interest I have for the subject.
8682,睡懒觉，我花12小时睡懒觉
8683,Rotina e saúde mental
8684,"I have big dreams of working for a FAANG company (Yes, I am that guy. :) ). And I spend almost 4-5 hours a week trying to solve HackerRank questions (sometimes I can't)"
8689,Any other thing with a deadline.
8691,Tiempo libre limitado
8694,caffeine 
8703,"Problema de salud , motivación "
8704,"부족한 시간, 업무로 인해 매번 일정한 시간을 할애하기 어려움"
8713,Depends on complexility of the task
8715,La motivación 
8716,La charge de travail à côté et le temps libre disponible en dehors du travail
8724,Motivation 
8727,How busy life is
8728,"I find I hard to be truthful to a learning schedule, most of the time i learn new things at work, and that helps, and i try to learn new stuff when i read something interesting on hacker news. And after that it varies how much time i put into it, depending on how it would help at my job, with the goal of maybe integrating it at my job so i might learn it while solving a problem "
8731,Amount of free time I have
8732,Motivación
8733,Programımın yoğunluğuna bağlı olarak değişiyor. Eğer hafta içerisinde yoğunsam öğrenme hızım yavaşlayabiliyor
8736,The difficulty of the material
8737,"Examinations, submissions and time for self learning created when I don't have submissions or examinations…."
8739,"Time availability, my level of interest for the topic"
8740,Free time 
8741,"The biggest factor is really just the question ""when's the next assignment due?"" Outside of that, it depends mostly on how difficult/confusing I find the topic and how deep of an understanding I want to develop in it."
8743,"Newer, better computer; hardcopy books, free online tutorials and free fully-,functional IDEs"
8744,how engaging and how clearly defined are the concepts.
8746,"Workload, Family time, Hobbies outside of computer science"
8750,Las actividades de tareas que tenga
8751,"other jobs at work, own motivation at the moment"
8755,Üniversite ders yükü ve üniversite proje ödevleri.
8760,Quand j'ai un bug que je ne parviens pas à résoudre 
8761,"I study almost everyday, but I also have other responsibilities that pay a huge role in me not having enough time to learn new concepts(exams in Uni, and etc)"
8764,Group study
8765,"Mental health
Motivation "
8768,"Interest at the time in the specific subject, other work that takes priority (university assignments / tests) and unfortunately, women :("
8770,Mood i guess and when i immersed I'll forget about time 
8773,Life. Family and work.
8774,My job sometimes can become stressful or I can have difficulties or personal issues that become distractions. And that can slow down my learning pace. Usually I spend 10 - 15 hours per week
8778,My full-time job.
8780,Engagement of the content and satisfaction of accomplishment through learning something
8781,Work and family load.
8782,"Workload, Family Time"
8783,"Workload, other responsibilities, energy levels, short-term goals (e.g would study harder when looking for a job)"
8785,Schule -> weniger Zeit für Hobbies (Programmieren)
8787,"Çevresel etkenler, eğer uğraşmam gereken başka bir iş veya kişi yoksa verimli çalışabiliyorum"
8788,Personal time available 
8789,The workload and other engagements 
8796,Wie viel ich auf der Arbeit noch zusätzlich mit programmieren zutun haben. Es kann auch sein dass ich nur organisatorische Aufgaben erledige. Da habe ich dann noch nach der Arbeit jede Menge Kapazitäten frei
8799,"Kişisel hayat şartları, hedeflerimdeki değişiklikler, öğrenme ivmem"
8800,이해력과 평소 공부하는 습관
8803,Free time and mental and physical condition to study
8805,興味のある新しいトピック、自身の忙しさ、疲労、水分補給の頻繁さ
8809,"Events in personal life, general mood, previous performance in CS tasks "
8810,Andere Hobbies und meine Lust auf Lernen
8812,"I always try to be consistent. Sometimes this doesn't happen usually because of unrelated factor as personal matters or work. I spend as much time as I have free, while caring about myself so without trying to get a burnout"
8816,개인 일정에 따라 유연하게 학습할 수 밖에 없는 것 같다
8818,Mainly university schedule. Also work and other life commitments. My learning habits at the moment is study during semester then dont study at all during the breaks.
8821,"Meine Motivation und auch der Grund für das Lernen. Wenn es sich um ein Projekt meines Arbeitgebers im Rahmen meines dualen Studiums handelt, dann kann und werde ich mehr Zeit aufwenden."
8824,"Psikolojik ve mental sıkıntılar, uzun süre ekrana bakmaktan kaynaklanan boyun ve baş ağrıları, düzeltilemeyen kod hataları genellikle ara vermemi hatta o gün için bu işi bırakmama neden olan etmenlerdir."
8839,"Balancing all other things I want to achieve: sports, reading, gaming, music, friends, family time, ..."
8842,El tiempo libre disponible y sentir.e motivado o enganchado al tema que estudio
8843,Deadline 
8844,"How busy I am, my wélbeing"
8847,Time constraints and outward motivation (tests/stress etc)
8848,Usually I got enough time like 2-3 hours a day but sometimes there are urgent tasks at workplace or Some projects through Freelancing cause a bit disruption in my learning pace. 
8851,The time constraints I have
8855,"Unfortunately i procrastinate a lot, so deadlines really influence me to do things"
8857,mostly it's the amount of free time
8860,Personal plans and attitude
8861,"Where I study, what do I need to study and how hard it is"
8862,教授内容是否过时，不然会有大量报错。
8867,Mostly pace of uni but also deadlines of projects. If I learn something for myself i usually do it in a very dedicated way (long hours at a time)
8869,What importance the topics have for me at the moment. If they are relevant for an upcoming project or display a benefit for my personal projects I'm more up to investing the time in learning
8872,"Increase knowledge, improve development techniques."
8873,Okul ve aile durumları :)
8874,Die Arbeitslast des Studiums und der Arbeit
8876,"how engaged im in the curent projects im developing, and how my life outside of study is affecting my mental state"
8877,흥미
8878,"It's usually my motivation, energy levels and other obligations on a given day. Sometimes the topic is really interesting, but being pressured by an exam deadline makes me not want to study it at all. "
8879,How much I focus
8880,Hedefimin somut ve heyecan verici olması. 
8882,Le travail en ingénieur les rendus lés projet etc
8885,Outras demandas da minha vida
8887,"Motivation, Menge an Freizeit "
8888,Mindset and environment 
8890,커뮤니케이션에 따른 유동적 스케쥴 변경
8892,Las labores del hogar y del trabajo 
8893,to have time between studying and working
8894,Urgency and dateline for homework or task submission 
8895,Minha carga horária 
8896,"I have a target about what to learn by the end of the week, and I spend an average of 4 hours/day studying."
8897,"Specific deadlines that week and university/work workload 
"
8898,당장 해결해야 하는 문제와의 관련성
8901,Obligations at work & how I've planned my private life
8904,"The free time that I have, ranging between 2 to 8 hours "
8905,Exams and how much time I have available due to side projects 
8911,What influences my learning pace the most are my studies that do not involve CS and my private life
8914,"La demanda laboral. Me quedé sin trabajo en Enero y veo que la mayoría de puestos de trabajo actualmente solicitan React, así que me dedico diariamente a aprenderlo.

Por otro lado, el interés. Me llama mucho la atención el lenguaje de programación Go, así que me dedico parte del día también a estudiarlo."
8918,If I'm interested in the topic and I know it will help me solve an upcoming problem at my job
8923,"Bevorstehende Prüfungen/Klausuren, Zeitaufwand für andere Hobbys, Interesse am Thema"
8928,How detailed I can get in a short period of time. Can you abstract out and then zoom in to each topic efficiently. Also I am a school chronic procrastinator because I've got other hw to do (still have an A though). I think the topics are either too easy or too complicated sometimes so that really influences my pace. I try and watch videos everywhere I am at especially on my commute(just listening).
8931,"Deadlines and workload, mostly. If there's more work to be done, I simply work more."
8932,Pre-existing commitments with family or my formal educational 
8933,El trabajo 
8937,생업
8941,Meu objetivo
8942,My university lessons.
8943,Current coursework and what currently fascinates me.
8945,본인의 의지
8946,Work from school and 24 hrs per week 
8947,The only factor that works for me is money and I spend 7-8 hours a week.
8951,"I'm not as consistent because I get caught up with more than one course at a time, or I get caught up with a personal project that takes time and focus away from studying."
8953,My university schedule.
8954,Family factors account for a lot.
8958,"ADHD, as simple as that, I'm getting hyper fixed over some topics and study hard, where later I need to decompress for some time until I start something new"
8959,"Mental and time factors
I spent as much time as I'm fit to comprehend. "
8962,Bring sad sometimes and overthrowing are wasting my time 
8964,"Academic deadlines, personal interest and community or group events such as hackathons or game jams."
8965,"Problemas pessoais, projetos inesperados; Cerca de menos de 1 semana"
8967,Good mentor
8968,How fast I understand what I am learning 
8973,Deadlines for exams and assignments and personal projects or preparing for contests 
8976,"Usually the factors such as work and other things i have to do that day/week. Also focus is a big factor, sometimes I can study few days in a row, but sometimes it's hard to get to 2 days in a row. So it really helps to keep your focus on a high level if i study from materials where you have to do after each section some practical tasks and small asignments."
8979,The ease of learning. Has the concept been broken down in an easier way
8980,"주제에 대한 흥미, 학습 외 일정이나 업무"
8983,"Schedual in school mostly, combined with how heavy the subjects are"
8984,Motivation
8985,Motivation 
8991,Friends and procrastination 
8993,"In a topic is simplified its easy and exciting to learn,just like a step by step learning curve. Less than an hour per course "
8997,Focus  and 60 mins a day
8998,Collaborative studies
9000,İş ve okul
9006,"Stehen Klausuren an, so lerne ich viel davor"
9008,Motivation to continue working on personal projects and time management skills.
9013,When I have time free
9018,"available time
deadlines
exams"
9021,"Prüfungen, Arbeit und Anlässe (zb mit Familie)"
9023,"Motivation,  Environment and learning style"
9033,Projetos do trabalho formal
9035,Ob es eine Deadline gibt 
9036,En önemlisi motivasyon
9039,La necesidad con algún proyecto 
9041,Mental Health 
9042,My schedule and how am I feeling 
9045,Interest in what I'm learning
9049,My personal attitude towards learning
9053,Motivasyonum
